battery,camera,display,memory,product_name,price,processor,rating,reviews,warranty
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M11 (Metallic Blue, 64 GB)",14598,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.2,251 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M11 (Black, 32 GB)",11970,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.2,444 Reviews,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Li-polymer Battery,48MP + 13MP + 8MP | 20MP Front Camera,16.23 cm (6.39 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,"Redmi K20 Pro (Pearl White, 128 GB)",24999,Qualcomm Snapdragon 855 Processor,4.5,"8,007 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Li-polymer Battery,48MP + 5MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Redmi Note 7 Pro (Neptune Blue, 128 GB)",16984,Qualcomm Snapdragon 675 Processor,4.4,"25,217 Reviews",Splash Proof - Protected by P2i
4000 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"OPPO F15 (Unicorn White, 128 GB)",16990,MediaTek Helio P70 Processor,4.3,19 Reviews,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
4030 mAh Li-ion Battery,13MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,"Vivo Y91i (Fusion Black, 16 GB)",8450,MTK Helio P22 Processor,4.3,"1,698 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Lithium-ion Battery,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)",23999,Exynos 9611 Processor,4.4,565 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Lithium Polymer Battery,48MP + 8MP + 2MP | 16MP Front Camera,16.74 cm (6.59 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Honor 9X (Midnight Black, 128 GB)",16999,Kirin 710F Processor,4.4,139 Reviews,Pop Up AI Selfie camera with Full View Display
6000 mAh Battery,48MP + 8MP + 5MP | 20MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M21 (Raven Black, 128 GB)",17987,Â Exynos 9611-Octa Core processor Processor,4.3,11 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
6000 mAh Battery,48MP + 8MP + 5MP | 20MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy M21 (Midnight Blue, 128 GB)",17986,Â Exynos 9611-Octa Core processor Processor,4.3,11 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5000 mAh Battery,13MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) Full HD+ Display,3 GB RAM | 64 GB ROM,"Redmi 8A Dual (Sky White, 64 GB)",9390,Snapdragon 439Â  Processor,4.2,170 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,"Realme X2 Pro (Lunar White, 128 GB)",31999,Qualcomm Snapdragon 855 Plus Processor,4.5,"2,254 Reviews",90 Hz Ultra Smooth Display
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,"Realme X2 Pro (Neptune Blue, 128 GB)",31999,Qualcomm Snapdragon 855 Plus Processor,4.5,"2,254 Reviews",90 Hz Ultra Smooth Display
4200 mAh Battery,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,16.69 cm (6.57 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"Realme X3 SuperZoom (Arctic White, 256 GB)",32999,Qualcomm Snapdragon 855+ Processor,4.2,105 Reviews,120 Hz Smooth Display
5000 mAh Battery,13MP + 2MP | 8MP Dual Front Camera,15.8 cm (6.22 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Redmi 8A Dual (Sea Blue II, 32 GB)",7499,Snapdragon 439 octa core processor Processor,4.2,170 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5000 mAh Battery,13MP + 2MP | 8MP Dual Front Camera,15.8 cm (6.22 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Redmi 8A Dual (Sky White II, 32 GB)",8999,Snapdragon 439 octa core processor Processor,4.2,170 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5000 mAh Battery,13MP + 2MP | 8MP Dual Front Camera,15.8 cm (6.22 inch) Full HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Redmi 8A Dual (Midnight Grey II, 32 GB)",7990,Snapdragon 439 octa core processor Processor,4.2,170 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
5000 mAh Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 5s (Crystal Red, 64 GB)",10999,Qualcomm Snapdragon 665 Processor,4.4,"24,323 Reviews",HD+ Mini Drop Display
5000 mAh Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,16.51 cm (6.5 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Realme 5s (Crystal Purple, 128 GB)",11999,Qualcomm Snapdragon 665 Processor,4.4,"24,323 Reviews",HD+ Mini Drop Display
4000 mAh Battery,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,"Realme X2 (Pearl White, 128 GB)",19999,Qualcomm Snapdragon 730G Processor,4.5,"2,400 Reviews",30W VOOC 4.0 Fast Charger
4000 mAh Battery,64MP + 8MP + 2MP + 2MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,4 GB RAM | 64 GB ROM,"Realme X2 (Pearl Blue, 64 GB)",17999,Qualcomm Snapdragon 730G Processor,4.5,"3,955 Reviews",30W VOOC 4.0 Fast Charger
